text,audio_file
Government and private sector institutes are available for skill development,output_data/processed_115.wav
so all this diversity of our languages have definitely impacted English,output_data/processed_206.wav
Yes it is a Gujarati book by Madurai called Kimball Ravenswood,output_data/processed_158.wav
The other is that do not harm any human being,output_data/processed_132.wav
i want to thank everyone for the birthday wishes,output_data/processed_84.wav
what is my most played song,output_data/processed_55.wav
How much money is remaining in my Nagaland Rural Bank account,output_data/processed_86.wav
And I think in all the major cities of Gujarat,output_data/processed_162.wav
Can I get a list of such institutes in the academic year બ0એક8  બ0એક9,output_data/processed_177.wav
SIso I think there are good there are opportunities for basic education in my district,output_data/processed_223.wav
Also it is the only major tributary of Godavari to have both its source and confluence located within the same district  Ahmednagar,output_data/processed_229.wav
76486997868,output_data/processed_154.wav
What do you do to stay motivated and focused while writing,output_data/processed_97.wav
Artist can present their work at different fairs which are taking place,output_data/processed_141.wav
and The opportunities that here are the education is growing So there there are certain younger people who are taking up agriculture also and Taking other government jobs etc,output_data/processed_230.wav
how many rupees can i get for one dollar,output_data/processed_68.wav
enough sporting facilities are available but,output_data/processed_119.wav
For registered mobile number,output_data/processed_69.wav
And if we are to compare it with traditional cable TV or satellite TV,output_data/processed_153.wav
Apart from that there are little facilities for sports in my district,output_data/processed_193.wav
And the other thing is to never lie under oath,output_data/processed_104.wav
Capturing candid moment can make a great portrait I think,output_data/processed_109.wav
I want to get enrolled myself in an UnaidedPrivate institutes offering Diploma level programs in Management,output_data/processed_198.wav
are easily available in Gujarat,output_data/processed_79.wav
urban area,output_data/processed_29.wav
that must be in the mind of the government,output_data/processed_120.wav
There are state wise and city wise association regarding art forms,output_data/processed_114.wav
the scenario is changing post COVID because during COVID online education was only the option available,output_data/processed_178.wav
Off,output_data/processed_5.wav
send an email to this contact,output_data/processed_56.wav
We can watch movies of our interest directly by searching them,output_data/processed_124.wav
medicine and and surgery from good hospitals because of that card,output_data/processed_147.wav
For example in English there is only singular and plural Whereas in Sanskrit and Arabic there is singular plural and for two members also,output_data/processed_225.wav
what is the going rate for wells fargo stock,output_data/processed_65.wav
Find the top mutual fund schemes rated by credible agencies such as Tata Capital Financial Services,output_data/processed_168.wav
the traditions that are being continued for the decades and by gathering annually and monthly,output_data/processed_205.wav
in village areas these these facilities are lacking so i think,output_data/processed_144.wav
I want to buy,output_data/processed_31.wav
Right,output_data/processed_12.wav
in which we can see,output_data/processed_35.wav
IT sectors,output_data/processed_28.wav
Almond Butter,output_data/processed_42.wav
main medium of communication has been Gujarati,output_data/processed_101.wav
The first is to have belief in one and true God,output_data/processed_125.wav
I stick to the truth of my own voice and then I try to make it believe to my audience,output_data/processed_175.wav
Can you name 5 countries of the world,output_data/processed_51.wav
Attacks targeting police have become common in the Nangarhar province,output_data/processed_95.wav
Distinctions in what constitute a sailing boat and ship vary by region and maritime culture,output_data/processed_139.wav
There are many good schools colleges and universities here in my district The vocational training centers are nonexistent here,output_data/processed_192.wav
so I would like to reset it to another one,output_data/processed_76.wav
Needs Regular checkups,output_data/processed_41.wav
Pay Rs બ00 more to the last scanned QR code on PhonePe add a remark saying tip,output_data/processed_196.wav
So that makes grammar more reliable and easy to follow,output_data/processed_148.wav
include 4 to 5 themes,output_data/processed_78.wav
The main challenges are mainly economic and social because the environment here is very good,output_data/processed_143.wav
which include,output_data/processed_26.wav
Because of lack of water no industrial development could happen here Moreover no broad gauge of railway connectivity is also a challenging aspect for development,output_data/processed_233.wav
the Conventional way of teaching and education the classroom teaching is now changing,output_data/processed_159.wav
There no as far as I know there is no vocational training center here,output_data/processed_181.wav
એક6th March એક976 બ7th October એક99એક 8th January એક97બ એક8th December એક944 એક0th June બ00બ,output_data/processed_235.wav
Agree,output_data/processed_0.wav
On,output_data/processed_2.wav
When will Dairy Items be available,output_data/processed_77.wav
Salbutamol Tablets,output_data/processed_46.wav
Actually I have not used Netflix but I have used Prime videos,output_data/processed_100.wav
And the third is never speak ill of anybody and do not make presumptions about them because everybody may have different conditions when they performed certain activity or certain task,output_data/processed_232.wav
the stadium in Rajkot there is a stadium in Baroda,output_data/processed_146.wav
because the Crops have not have not been good and then the farmers will have to suffer,output_data/processed_173.wav
which are typically in my regional language that is Kathiawadi,output_data/processed_90.wav
Managed institutes offering PG level,output_data/processed_85.wav
There are committees especially set up to handle these kind of issues like there is one separate committee for to,output_data/processed_204.wav
Because most of the colleges and universities and even schools also They focus education on joboriented courses only,output_data/processed_211.wav
His works his dramas are very good and influential,output_data/processed_98.wav
show me a forecast,output_data/processed_36.wav
so that initiative has made a good difference,output_data/processed_142.wav
In education system of Gujarat,output_data/processed_61.wav
so that,output_data/processed_22.wav
but in Gujarat the very famous Kankaria indoor stadium which,output_data/processed_118.wav
Sports teach a person sportsman spirit hard work alertness acceptance and discipline more than any other source,output_data/processed_217.wav
Please transfer Rs 400 to my PayUmoney wallet,output_data/processed_136.wav
Wow,output_data/processed_11.wav
There is also I think the scheme of Ayushman Bharat has helped many people get good,output_data/processed_236.wav
Backward,output_data/processed_27.wav
Download my vaccine certificate using phone number 975એક5એક785બ8 and OTP 5એક4395,output_data/processed_221.wav
Nine,output_data/processed_4.wav
The brand of One Good Plant based Nuggets I recieved is not correct,output_data/processed_122.wav
Makar Sankranti,output_data/processed_32.wav
A few tributaries form marshy land in early dry season due to natural seepage,output_data/processed_140.wav
yes it caters different need and different sectors for example hospitality agriculture,output_data/processed_172.wav
vocal codes which can be trained and which are unique individually,output_data/processed_138.wav
I forgot my password of Freecharge,output_data/processed_62.wav
Ramesh Suresh Bharat Arvind Umang,output_data/processed_135.wav
set up to look into the corruptions by bureaucrats,output_data/processed_128.wav
Delete Scotch brite Soap Dispensing Dishwand  Cothas Vanilla Milkshake and Cremica Mix Fruit Jam from my shopping list,output_data/processed_218.wav
List all the Paid vaccination centres which provide COVISHIELD Booster Dose,output_data/processed_182.wav
and to feed hungry,output_data/processed_70.wav
people express their faith in this religion by doing daily prayers and,output_data/processed_185.wav
only few schools in,output_data/processed_64.wav
from my current location,output_data/processed_44.wav
Social media and online education platforms plays a vital role in the field of education,output_data/processed_156.wav
Any discount on Flasks,output_data/processed_40.wav
and the social is like disconnect between upper class and lower class,output_data/processed_123.wav
Policy,output_data/processed_23.wav
humorous elements in it make me revisit this book over and over again,output_data/processed_180.wav
He employs a language which is very new to Gujaratis,output_data/processed_176.wav
in Gujarati medium opt for only Gujarati communication,output_data/processed_81.wav
of the people of Gujarat,output_data/processed_39.wav
Fatehgarh remained a military station of considerable importance and in એક80બ it became the headquarters of the Governor Generals Agent for the ceded provinces,output_data/processed_228.wav
I made in last બ month,output_data/processed_47.wav
Can you speak the five dates that you remember,output_data/processed_94.wav
the representation of girls is much higher than say four or five years back,output_data/processed_183.wav
the,output_data/processed_43.wav
the બ0એકએક census there are બ million people living in Nagaland,output_data/processed_145.wav
But I believe we should train our own voice because God has blessed us with certain kind of,output_data/processed_165.wav
Help,output_data/processed_3.wav
Yes I have read a book other than my native language,output_data/processed_105.wav
please add event in calendar,output_data/processed_53.wav
The originality has its charm of its own We dont need to make fusions,output_data/processed_133.wav
Secondly we should always give importance to our folk music which nowadays are mixed and made fusion of,output_data/processed_219.wav
For example the civil hospital of Ahmedabad is the best place in Asia to get cancer treated,output_data/processed_186.wav
And not much is left at the behest of the writer or author and grammar punctuation is very well structured and written and documented as well,output_data/processed_224.wav
Can you name five states of India,output_data/processed_49.wav
What is the status of my EPFO claim having tracking ID 77376867બ8,output_data/processed_163.wav
Please tell me about the benifits of Health Insurance,output_data/processed_80.wav
i went to the park,output_data/processed_34.wav
Three,output_data/processed_7.wav
Please use mobile number 8બ56બ848એક40 to register on CoWIn platform,output_data/processed_171.wav
which run courses like BEd Nursing,output_data/processed_110.wav
programs in Hotel Management and Catering,output_data/processed_91.wav
What are the best selling recommendations on Juices,output_data/processed_83.wav
where proper education system is not easily available may be due to infrastructure or may be due to some traditional constraints,output_data/processed_215.wav
So the other thing that makes English grammar unique is that most of the rules are very well structured,output_data/processed_220.wav
Show me the new features available in the updated version of Airtel Money,output_data/processed_89.wav
Dog,output_data/processed_8.wav
Zero,output_data/processed_13.wav
easily answers the local need,output_data/processed_59.wav
Find all approved AICTE institutes in the academic year બ0બ0બ0બએક offering UG courses,output_data/processed_207.wav
Art and craft are expression of oneself what one is feeling what one is seeing,output_data/processed_131.wav
Garba,output_data/processed_17.wav
Yes I have watched quite a few TV shows on the Prime videos,output_data/processed_166.wav
did i set an alarm to have tablets in the noon,output_data/processed_72.wav
handle codes of conduct and there is one to investigate into Corruption into selections and one is I think,output_data/processed_212.wav
hosts pro kabaddi and all the other indoor tournaments is there,output_data/processed_134.wav
Then there are many features that make grammar of English language unique,output_data/processed_197.wav
then the experience here is quite unique because here you dont have to wait for the ads You can watch movies continuously without interruption from ads,output_data/processed_222.wav
this incident was the third major attack this week,output_data/processed_63.wav
which is the nearest medical store,output_data/processed_54.wav
70 of the rural schools in Gujarat which are,output_data/processed_107.wav
Can you speak five district names,output_data/processed_50.wav
or any new such belief or encounter if they encounter any new tradition about religion then they discuss that,output_data/processed_200.wav
This area is also known as Navegaon Bandh locally because of the presence of the water body,output_data/processed_174.wav
Online education opens doors of endless opportunities for the people in the rural area,output_data/processed_201.wav
A cruise boat service has been started by the tourism department for visitors to the dam and reservoir,output_data/processed_189.wav
I think every major university in Gujarat has an exchange program for students who want to go abroad And there are many technical universities who send their bright students abroad on scholarships,output_data/processed_238.wav
Even from young agelike students from standard 8 9 are also taught how they will get job or how they will set up business,output_data/processed_213.wav
Open MobiKwik QR code scanner and upload the first picture from my gallery for scanning,output_data/processed_169.wav
the tradition continues,output_data/processed_58.wav
meaning of a particular word,output_data/processed_48.wav
Vocational training or skill development opportunity,output_data/processed_88.wav
Lagna Geet,output_data/processed_21.wav
Chicago Northern London,output_data/processed_57.wav
of course in India English is not spoken with one accent,output_data/processed_203.wav
So lets first talk about the challenges and then we will talk about the opportunities of my district,output_data/processed_160.wav
This book I keep coming back to this book because first it is an experimental novel This type of novels are not usually written in Gujarati,output_data/processed_234.wav
to fellow religion members and exchange the information or new knowledge that they have gathered during that period,output_data/processed_187.wav
There are so many unique features in English language if we are to talk strictly about grammar and punctuation,output_data/processed_191.wav
For example there is an event called abhivyakti taking place in Ahmedabad,output_data/processed_129.wav
It was pretty well,output_data/processed_37.wav
in India English is spoken with I think બ0 or 50 accents,output_data/processed_157.wav
So the Economics part The thing is that most of the people here depend on agriculture So and they mainly depend on cash crops,output_data/processed_227.wav
Yes,output_data/processed_1.wav
Can you name five states of India,output_data/processed_52.wav
because this is how languages work and,output_data/processed_149.wav
there are diploma courses there are certificate courses there are online courses available,output_data/processed_130.wav
And there are many cricket stadiums the famous Narendra Modi cricket stadium,output_data/processed_151.wav
I do much Riyaz or practice before the recording session,output_data/processed_103.wav
In the academic year બ0એક9  બ0બ0,output_data/processed_99.wav
more than in any other country I suppose,output_data/processed_116.wav
The main beliefs and teachings of this religion,output_data/processed_87.wav
So there is more focus on joboriented courses and less on personality development courses and language courses,output_data/processed_202.wav
I want to return product Happy Jars,output_data/processed_74.wav
Other than that people of Rajasthan Madhya Pradesh and Maharashtra also depend on Ahmedabad for better and affordable medical services,output_data/processed_214.wav
Yeah many many words from Indian languages have crept in in English,output_data/processed_210.wav
and I want it to be recorded and to be given to the next generation,output_data/processed_121.wav
The government and people arrange and celebrate different festivals associated with environment For example for lions Asiatic lions we have Lions Day celebrated near the Gir forest Some cultural programs are arranged at historical places such as Tana Riri festival music festival at Modhera Sun Temple,output_data/processed_241.wav
Halarda,output_data/processed_20.wav
Show the current holdings of my APY account with PRAN number 3બ9498585879,output_data/processed_188.wav
Shakespeare is the favorite writer of mine,output_data/processed_71.wav
What are the new products with discounts of at least 30,output_data/processed_106.wav
Raaz,output_data/processed_14.wav
I want to return product Hello Tempayy Soyabean Tempeh Cubes,output_data/processed_92.wav
Find all blood banks having atleast એકબ units of A available blood at in district Hyderabad,output_data/processed_179.wav
I am unable to deactivate autopay for my TataCliq,output_data/processed_102.wav
